# This file contains a set of distributions for the baseline aorta diameter. 
# The first two "columns" are the sizes in centimetres. Each of pw, pwstar, 
# pwstar2, and pwstar3 is a set of weights that defines a distribution. 
# 
# The validation (men4yearsValidation.R) uses pwstar3. 
# Phase IB (ii), the analysis using the updated parameters like in Glover et 
# al 2014, uses pw, which is the NAAASP baseline distribution.    
# 
# This is produced by the Stata do-file 
# "SWAN_mixed_model_parameter_generation, slightly edited.do"
#@ 
#@ In case the file name changes: this file is currently called 
#@ "AAA max measurements 2009 to 2014 MS 17 06 2015.csv"
# 
size,size_str,fw,pw,pwstar,pwstar2,pwstar3
0.7,0.7,2,2.86E-06,2.75E-06,0,0
0.8,0.8,4,5.71E-06,5.50E-06,0,0
0.9,0.9,31,4.42857E-05,4.26568E-05,0,0
1,1,246,0.000351429,0.000338502,0,0
1.1,1.1,844,0.001205714,0.001161366,9.62373E-05,9.62373E-05
1.2,1.2,3523,0.005032857,0.004847739,0.001074575,0.001074575
1.3,1.3,12545,0.017921429,0.017262245,0.006222428,0.006222428
1.4,1.4,31989,0.045698572,0.044017695,0.02197645,0.02197645
1.5,1.5,64814,0.092591427,0.089185745,0.056906164,0.056906164
1.6,1.6,110370,0.15767142,0.15187198,0.11798371,0.11798371
1.7,1.7,125213,0.17887571,0.17229633,0.15776527,0.15776527
1.8,1.8,128737,0.18391,0.17714545,0.18679312,0.18679312
1.9,1.9,93379,0.13339858,0.12849192,0.15332446,0.15332446
2,2,56603,0.080861427,0.077887192,0.10375047,0.10375047
2.1,2.1,26853,0.03836143,0.036950424,0.054348912,0.054348912
2.2,2.2,13348,0.019068571,0.018367194,0.02956493,0.02956493
2.3,2.3,7371,0.01053,0.010142687,0.017734073,0.017734073
2.4,2.4,4813,0.006875714,0.006622813,0.01249896,0.01249896
2.5,2.5,3365,0.004807143,0.004630327,0.009381312,0.009381312
2.6,2.6,2472,0.003531429,0.003401536,0.007363841,0.007363841
2.7,2.7,1847,0.002638571,0.00254152,0.00585479,0.00585479
2.8,2.8,1446,0.002065714,0.001989733,0.004859837,0.004859837
2.9,2.9,797,0.001138571,0.001096693,0.002830844,0.002830844
3,3,1625,0.002321429,0.008602737,0.006082159,0.006233777
3.1,3.1,1102,0.001574286,0.005833979,0.004335112,0.004443179
3.2,3.2,826,0.00118,0.004372838,0.003407126,0.00349206
3.3,3.3,671,0.000958571,0.003552269,0.00289593,0.002968121
3.4,3.4,558,0.000797143,0.002954048,0.002514813,0.002577503
3.5,3.5,485,0.000692857,0.002567586,0.002278445,0.002335243
3.6,3.6,415,0.000592857,0.002197007,0.002028859,0.002079435
3.7,3.7,360,0.000514286,0.001905837,0.001828731,0.001874318
3.8,3.8,336,0.00048,0.001778781,0.001770989,0.001815137
3.9,3.9,262,0.000374286,0.001387026,0.001430989,0.001466662
4,4,280,0.0004,0.001482318,0.001582779,0.001622235
4.1,4.1,189,0.00027,0.001000565,0.001104473,0.001132006
