sizecm,freq,size,pw
7,0,.7,0
8,0,.8,0
9,1,.9,.00019455253
10,12,1,.0023346303
11,21,1.1,.0040856032
12,86,1.2,.016731517
13,229,1.3,.044552527
14,561,1.4,.10914397
15,820,1.5,.15953307
16,1005,1.6,.19552529
17,925,1.7,.17996109
18,643,1.8,.12509727
19,403,1.9,.078404672
20,197,2,.038326848
21,100,2.1,.019455252
22,52,2.2,.010116732
23,18,2.3,.0035019456
24,18,2.4,.0035019456
25,9,2.5,.0017509728
26,6,2.6,.0011673152
27,9,2.7,.0017509728
28,3,2.8,.00058365759
29,3,2.9,.00058365759
30,3,3,.00058365759
31,2,3.1,.00038910506
32,1,3.2,.00019455253
33,3,3.3,.00058365759
34,1,3.4,.00019455253
35,0,3.5,0
36,3,3.6,.00058365759
37,0,3.7,0
38,0,3.8,0
39,1,3.9,.00019455253
40,0,4,0
41,0,4.1,0
42,1,4.2,.00019455253
43,1,4.3,.00019455253
44,0,4.4,0
45,1,4.5,.00019455253
46,0,4.6,0
47,1,4.7,.00019455253
48,0,4.8,0
49,0,4.9,0
50,0,5,0
51,0,5.1,0
52,0,5.2,0
53,0,5.3,0
54,1,5.4,.00019455253
55,0,5.5,0
56,0,5.6,0
57,0,5.7,0
58,0,5.8,0
59,0,5.9,0
60,0,6,0
61,0,6.1,0
62,0,6.2,0
63,0,6.3,0
64,0,6.4,0
65,0,6.5,0
66,0,6.6,0
67,0,6.7,0
68,0,6.8,0
69,0,6.9,0
70,0,7,0
71,0,7.1,0
72,0,7.2,0
73,0,7.3,0
74,0,7.4,0
75,0,7.5,0
76,0,7.6,0
77,0,7.7,0
78,0,7.8,0
79,0,7.9,0
80,0,8,0
81,0,8.1,0
82,0,8.199999999999999,0
83,0,8.300000000000001,0
84,0,8.4,0
85,0,8.5,0
86,0,8.6,0
87,0,8.699999999999999,0
88,0,8.800000000000001,0
89,0,8.9,0
90,0,9,0
91,0,9.1,0
92,0,9.199999999999999,0
93,0,9.300000000000001,0
94,0,9.4,0
95,0,9.5,0
96,0,9.6,0
97,0,9.699999999999999,0
98,0,9.800000000000001,0
99,0,9.9,0
100,0,10,0
101,0,10.1,0
102,0,10.2,0
103,0,10.3,0
104,0,10.4,0
105,0,10.5,0
106,0,10.6,0
107,0,10.7,0
108,0,10.8,0
109,0,10.9,0
110,0,11,0
